FID,FID_1,sFIPS,prFIPS,tFIPS,GeoID,TownName,CountyName,tFIPS20,cFIPS20,PRName,PUMA20code,PUMA20name,Shape__Area,Shape__Length
129,129,09,110,27600,0911027600,Farmington,Hartford,0900327600,09003,Capitol Planning Region,20207,Capitol West,133929814.359375,54239.146125832
130,130,09,110,82590,0911082590,West Hartford,Hartford,0900382590,09003,Capitol Planning Region,20207,Capitol West,103721279.914063,45376.620694195
131,131,09,110,52140,0911052140,Newington,Hartford,0900352140,09003,Capitol Planning Region,20205,"Glastonbury, Wethersfield, Rocky Hill & Newington Towns",61074462.015625,34026.3900549258
132,132,09,110,22070,0911022070,East Granby,Hartford,0900322070,09003,Capitol Planning Region,20207,Capitol West,82670104.2539063,44426.009663767
133,133,09,110,87000,0911087000,Windsor,Hartford,0900387000,09003,Capitol Planning Region,20202,Connecticut River North,144729042.839844,58811.6902905889
134,134,09,110,71390,0911071390,South Windsor,Hartford,0900371390,09003,Capitol Planning Region,20202,Connecticut River North,133837846.328125,49201.1641159469
135,135,09,110,87070,0911087070,Windsor Locks,Hartford,0900387070,09003,Capitol Planning Region,20202,Connecticut River North,43851987.2304688,28449.9318838146
136,136,09,110,24800,0911024800,East Windsor,Hartford,0900324800,09003,Capitol Planning Region,20202,Connecticut River North,125482698.773438,44992.5821056502
137,137,09,110,74540,0911074540,Suffield,Hartford,0900374540,09003,Capitol Planning Region,20202,Connecticut River North,201576744.910156,64848.5838889939
138,138,09,110,25990,0911025990,Enfield,Hartford,0900325990,09003,Capitol Planning Region,20202,Connecticut River North,160721606.902344,53231.6076414742
139,139,09,110,25360,0911025360,Ellington,Tolland,0901325360,09013,Capitol Planning Region,20203,Capitol East,161830663.402344,71754.0002110762
140,140,09,110,78250,0911078250,Vernon,Tolland,0901378250,09013,Capitol Planning Region,20204,"East Hartford, Manchester & Vernon Towns",84508764.9335938,38355.0964699394
141,141,09,110,69220,0911069220,Somers,Tolland,0901369220,09013,Capitol Planning Region,20203,Capitol East,134077755.300781,46728.0621199861
142,142,09,110,72090,0911072090,Stafford,Tolland,0901372090,09013,Capitol Planning Region,20301,Northeastern Planning Region & Stafford Town,275656406.78125,68755.7446659293
